ProductID,ProductName,Cluster,Rating,Timestamp,ClusterType
7.0,Headset,0,84,2025-07-21 14:28:34,
6.0,Webcam,1,25,2025-07-21 14:30:11,
23.0,Desk Lamp,0,25,2025-07-21 14:32:56,
14.0,HDMI Cable,2,100,2025-07-21 14:33:19,
19.0,7.0,1,25,2025-07-21 15:55:01,بدون السعر
22.0,5.0,1,100,2025-07-21 15:58:58,بدون السعر
5.0,14.0,1,100,2025-07-21 15:58:59,بدون السعر
6.0,23.0,1,38,2025-07-21 15:59:15,مع السعر
10.0,19.0,0,72,2025-07-21 16:01:17,بدون السعر
22.0,5.0,1,15,2025-07-21 16:06:51,عنقود بدون السعر
6.0,23.0,1,50,2025-07-21 16:53:45,عنقود بدون السعر
3.0,16.0,2,13,2025-07-21 16:55:06,عنقود بدون السعر
